ID,1,2,3,4,5
TCGA-A1-A0SD,22.0421,140.4663,132.0021,30.0548,26.9315
TCGA-A1-A0SE,74.0901,50.3992,165.7437,94.837,4.9967
TCGA-A1-A0SH,25.3559,0.0068,636.4592,89.0389,42.9731
TCGA-A1-A0SJ,42.9368,154.6649,100.4338,17.883,40.6481
TCGA-A1-A0SK,212.0012,26.2459,13.2608,0,1.4661
TCGA-A1-A0SM,1.3152,0.0041,220.3298,152.7907,162.1381
TCGA-A1-A0SO,135.2099,4.8795,4.6913,0,81.4368
TCGA-A2-A04N,38.2586,51.4297,208.0348,113.519,6.9836
TCGA-A2-A04P,285.5171,0,44.4731,14.8357,0
TCGA-A2-A04Q,205.2501,0.0006,64.9232,16.7233,57.1819
TCGA-A2-A04R,3.0249,242.1159,91.9098,0.0165,0.0558
TCGA-A2-A04T,267.0278,4.2703,11.0794,0.0001,0.2602
TCGA-A2-A04U,271.3539,0,42.3245,0.1776,0
TCGA-A2-A04V,87.3141,59.7772,169.2337,119.0703,0
TCGA-A2-A04W,91.2133,0,197.4515,77.3168,145.1936
TCGA-A2-A04X,7.6236,0,28.1494,157.694,172.3833
TCGA-A2-A04Y,57.25,71.0461,24.5513,75.099,112.8839
TCGA-A2-A0CL,76.602,23.4863,128.1653,4.1155,91.6081
TCGA-A2-A0CM,154.4844,0.0063,77.2257,0,76.5318
TCGA-A2-A0CP,120.3524,1.0485,255.6321,135.9916,0
TCGA-A2-A0CQ,45.223,0.0269,26.6239,266.14,0
TCGA-A2-A0CS,8.9428,4.0091,227.768,204.3,43.2103
TCGA-A2-A0CT,23.3187,144.2597,47.4413,36.2503,27.2357
TCGA-A2-A0CU,18.2142,208.8767,70.8233,6.9188,3.8474
TCGA-A2-A0CV,98.6894,0.0097,124.1388,153.3275,0
TCGA-A2-A0CW,34.6777,82.1118,24.6473,9.4512,138.2795
TCGA-A2-A0CX,74.596,0,151.5594,32.6291,189.2113
TCGA-A2-A0CY,318.9513,0.1079,9.7726,95.6768,0
TCGA-A2-A0CZ,113.8537,3.1265,367.9923,90.2703,0
TCGA-A2-A0D0,312.6456,0,2.8461,2.2216,0
TCGA-A2-A0D1,201.3395,39.7858,55.7522,0,47.9442
TCGA-A2-A0D2,222.5729,0.4606,76.8341,0,20.302
TCGA-A2-A0D3,23.1989,0.0014,33.4114,204.0851,61.4262
TCGA-A2-A0D4,6.9586,220.6237,23.4213,0,20.8775
TCGA-A2-A0EM,22.306,19.9703,161.2914,177.1096,19.0778
TCGA-A2-A0EN,25.0493,0.053,209.4948,193.5254,67.2656
TCGA-A2-A0EO,65.9874,22.2201,225.9238,151.5424,7.6815
TCGA-A2-A0EQ,186.97,13.4891,40.7972,34.2056,52.061
TCGA-A2-A0ER,0.3498,268.3371,35.6126,31.4939,0
TCGA-A2-A0ES,71.0203,15.7486,112.2143,156.5704,0.0001
TCGA-A2-A0ET,0,115.3525,2.7284,103.508,25.0949
TCGA-A2-A0EU,28.4548,166.6735,100.2976,17.7093,0.4034
TCGA-A2-A0EV,2.4766,26.8184,159.6216,125.7017,103.3264
TCGA-A2-A0EW,48.4983,22.8017,204.8127,127.9106,0
TCGA-A2-A0EX,97.3558,0.0336,182.6308,192.0289,0
TCGA-A2-A0EY,7.9155,0.0135,66.8425,111.49,189.1254
TCGA-A2-A0ST,196.32,0.0928,19.5283,30.6666,51.0159
TCGA-A2-A0SU,57.5922,94.3754,94.8453,116.3942,0
TCGA-A2-A0SV,39.5981,0.0431,169.023,82.161,169.1099
TCGA-A2-A0SW,49.0731,3.2349,113.3233,56.092,147.1586
TCGA-A2-A0SX,165.77,0.0814,143.8152,0,42.0834
TCGA-A2-A0SY,63.3006,0,135.0464,231.8582,16.168
TCGA-A2-A0T0,221.2062,0.1495,107.5927,0,35.1039
TCGA-A2-A0T1,78.5004,0,181.0011,32.9676,194.7097
TCGA-A2-A0T2,264.8435,0.0007,50.5728,8.7141,30.9416
TCGA-A2-A0T3,39.5591,132.4787,70.9448,15.2978,25.9627
TCGA-A2-A0T4,50.1312,63.1402,195.1799,91.2278,25.4441
