ID,1,2,3,4,5,6,7,8
TCGA-A1-A0SD,43.274,202.0623,118.0356,71.642,69.2244,0.0008,17.4367,40.4502
TCGA-A1-A0SE,60.5843,0.0414,149.9828,110.3737,43.7417,79.0392,8.7822,0.0002
TCGA-A1-A0SH,51.1564,0.0059,626.671,40.1998,26.3112,29.1672,119.6613,0
TCGA-A1-A0SJ,36.8133,0.0113,90.7821,54.1719,176.14,52.7691,7.4371,29.0403
TCGA-A1-A0SK,190.1864,0.2485,8.0582,0,13.5569,87.8762,0.1436,0.0128
TCGA-A1-A0SM,32.645,0.0088,228.5928,52.1364,34.4044,47.3699,393.9267,0
TCGA-A1-A0SO,198.0782,0.0336,5.4768,0,14.5308,0,5.189,12.8633
TCGA-A2-A04N,18.5177,0.0092,198.5914,94.1269,73.8231,79.6244,33.7635,0
TCGA-A2-A04P,70.9351,0.0004,43.3478,0.486,0,240.9626,12.1439,206.6409
TCGA-A2-A04Q,96.1555,0.0029,58.025,5.8035,0,95.3319,0.3394,302.5715
TCGA-A2-A04R,14.5662,414.4105,89.9934,8.066,131.9838,31.2868,0,0
TCGA-A2-A04T,216.1214,0.0002,6.4941,0,0,88.3578,0,45.4676
TCGA-A2-A04U,133.5756,0.0002,40.6111,0,0,230.5778,0.0031,10.9434
TCGA-A2-A04V,2.1828,0.166,166.7673,83.9882,85.0915,204.4965,0,0
TCGA-A2-A04W,87.5371,0.0037,208.1075,2.6565,0,99.5524,353.1538,8.1165
TCGA-A2-A04X,15.3685,0.0022,32.543,19.9391,38.9495,94.4093,373.1476,73.902
TCGA-A2-A04Y,1.4793,0.0016,29.1462,0,171.9736,149.5834,76.7478,67.1883
TCGA-A2-A0CL,62.3355,0.0008,111.2166,8.5855,58.1094,42.8487,0,129.0412
TCGA-A2-A0CM,165.076,0.005,69.9223,0,2.2157,28.1598,0.0005,119.2513
TCGA-A2-A0CP,23.7105,0.5431,259.5403,81.5761,21.4368,216.2341,20.8231,7.5726
TCGA-A2-A0CQ,0,0.0156,22.2847,187.7029,15.893,125.0082,18.4508,115.0547
TCGA-A2-A0CS,0.0025,2.3717,223.2818,134.8416,50.6204,90.5585,35.503,61.4713
TCGA-A2-A0CT,26.6266,0.0401,43.9479,34.1054,185.6754,53.3723,0,1.9925
TCGA-A2-A0CU,26.1442,0.0004,57.5457,98.0737,178.4911,27.5629,1.4226,0.2166
TCGA-A2-A0CV,36.2317,0.0086,112.4172,140.4815,0,136.2253,9.0046,38.8964
TCGA-A2-A0CW,33.6096,0.0273,26.1419,0,172.6503,60.1303,18.2861,64.5823
TCGA-A2-A0CX,84.5977,0.0005,153.4721,0,41.8563,64.9802,244.9402,39.2389
