1 2 3
TCGA-A1-A0SD 24.8486 106.0657 146.6461
TCGA-A1-A0SE 68.4336 68.0299 188.6476
TCGA-A1-A0SH 55.8799 11.2119 701.011
TCGA-A1-A0SJ 46.7834 112.7141 111.1036
TCGA-A1-A0SK 184.5367 6.3424 9.9136
TCGA-A1-A0SM 54.1936 78.8828 336.968
TCGA-A1-A0SO 156.1309 3.9902 5.0711
TCGA-A2-A04N 40.3397 75.6546 240.5851
TCGA-A2-A04P 236.0849 0 47.1408
TCGA-A2-A04Q 204.3979 0.0018 76.6943
TCGA-A2-A04R 0.6048 153.347 94.912
TCGA-A2-A04T 217.6956 0 7.9638
TCGA-A2-A04U 216.4811 0 40.4075
TCGA-A2-A04V 74.6872 87.7203 191.8698
TCGA-A2-A04W 162.8473 12.7431 280.7448
TCGA-A2-A04X 81.2898 94.0531 68.0231
TCGA-A2-A04Y 88.7235 101.3392 34.2969
TCGA-A2-A0CL 104.8939 19.8996 143.9025
TCGA-A2-A0CM 167.2829 0.0021 80.0357
TCGA-A2-A0CP 120.1295 37.1935 299.4824
TCGA-A2-A0CQ 59.1093 117.3157 42.3931
TCGA-A2-A0CS 35.756 90.4013 277.8138
TCGA-A2-A0CT 26.6475 114.1579 56.6417
TCGA-A2-A0CU 10.186 139.1642 76.2764
TCGA-A2-A0CV 101.8132 51.4653 157.5451
TCGA-A2-A0CW 79.0606 80.234 31.3037
TCGA-A2-A0CX 148.3866 22.1271 197.2476
TCGA-A2-A0CY 278.5416 33.2272 4.5145
TCGA-A2-A0CZ 111.9462 14.0855 415.1291
TCGA-A2-A0D0 251.9178 0 0.183
TCGA-A2-A0D1 186.4771 24.6858 64.1839
TCGA-A2-A0D2 189.1792 0.001 75.7231
TCGA-A2-A0D3 47.9129 107.517 52.3768
TCGA-A2-A0D4 9.6095 146.4024 24.8889
TCGA-A2-A0EM 26.8091 94.9929 197.5539
TCGA-A2-A0EN 89.8572 60.6043 264.8274
TCGA-A2-A0EO 66.742 72.6204 262.6105
TCGA-A2-A0EQ 180.98 23.8586 47.9237
TCGA-A2-A0ER 0.0404 186.332 38.3244
TCGA-A2-A0ES 64.797 75.4488 143.5009
TCGA-A2-A0ET 0.0319 137.6884 9.2802
TCGA-A2-A0EU 19.394 113.9637 109.6932
TCGA-A2-A0EV 32.9854 92.0181 206.0412
TCGA-A2-A0EW 48.8008 60.4842 241.1078
TCGA-A2-A0EX 107.702 64.83 218.5999
TCGA-A2-A0EY 112.8847 52.8774 106.8977
TCGA-A2-A0ST 195.2778 7.31 29.3274
TCGA-A2-A0SU 47.7688 113.3338 112.7198
TCGA-A2-A0SV 110.6019 46.3339 213.7792
TCGA-A2-A0SW 104.2015 41.1992 139.6797
TCGA-A2-A0SX 153.6549 0.0023 147.5223
TCGA-A2-A0SY 76.9609 92.2927 186.9317
TCGA-A2-A0T0 194.4387 0.0028 111.3024
TCGA-A2-A0T1 169.2957 2.5281 255.7887
TCGA-A2-A0T2 233.8521 0 53.9886
TCGA-A2-A0T3 41.2036 94.1787 77.5678
TCGA-A2-A0T4 54.998 77.5496 223.1657
TCGA-A2-A0T5 122.8181 60.8149 124.4741
TCGA-A2-A0T6 64.4932 22.8101 384.8894
TCGA-A2-A0T7 84.9793 36.6459 237.9963
TCGA-A2-A0YC 5.815 126.4123 122.2413
TCGA-A2-A0YD 52.2008 41.6178 332.5709
TCGA-A2-A0YE 181.139 0.0581 74.9858
TCGA-A2-A0YF 10.4459 135.0295 37.2364
TCGA-A2-A0YG 74.5083 75.6889 70.2294
TCGA-A2-A0YH 76.3985 67.8745 139.0783
TCGA-A2-A0YI 11.4039 129.4324 131.068
TCGA-A2-A0YJ 205.5851 0 26.6753
TCGA-A2-A0YK 85.9605 38.6959 154.6606
TCGA-A2-A0YL 92.189 39.9427 187.6944
TCGA-A2-A0YM 189.9471 0 45.3144
TCGA-A7-A0CD 1.0696 145.1191 73.8551
TCGA-A7-A0CE 200.5027 7.8762 31.1248
TCGA-A7-A0CG 93.773 47.6782 213.2537
TCGA-A7-A0CH 23.4814 92.9817 167.4945
TCGA-A7-A0CJ 65.2285 87.5376 29.2943
TCGA-A7-A0D9 30.3301 108.4132 114.4707
TCGA-A7-A0DA 154.5245 0 168.6338
TCGA-A7-A0DB 89.6317 75.1202 165.0623
TCGA-A7-A13D 205.5082 0 132.6259
TCGA-A7-A13E 172.21 0 48.2653
TCGA-A7-A13F 35.334 128.6687 77.1933
TCGA-A8-A06N 0 137.7387 1.6919
TCGA-A8-A06O 53.5286 107.1935 84.7429
TCGA-A8-A06P 46.906 71.6199 288.0153
TCGA-A8-A06Q 46.7827 127.5291 6.5732
TCGA-A8-A06R 118.1831 22.7215 185.8175
TCGA-A8-A06T 9.828 119.6241 73.7009
TCGA-A8-A06U 58.025 95.1571 48.7755
TCGA-A8-A06X 97.1866 65.2765 60.8897
TCGA-A8-A06Y 34.4807 121.3982 27.6081
TCGA-A8-A06Z 0.0216 169.6027 19.6557
TCGA-A8-A075 90.8006 48.7611 170.2802
TCGA-A8-A076 66.5715 60.1811 227.3491
TCGA-A8-A079 37.0061 145.3673 39.1233
TCGA-A8-A07B 105.0914 48.7425 127.5656
TCGA-A8-A07C 173.0321 7e-04 29.9616
TCGA-A8-A07E 78.3906 40.7111 264.3224
TCGA-A8-A07F 26.5931 77.5245 147.0151
TCGA-A8-A07G 58.5223 58.5036 371.0339
TCGA-A8-A07I 55.116 62.8619 244.5971
TCGA-A8-A07J 61.6079 32.1066 309.58
TCGA-A8-A07L 31.5239 98.6037 115.7479
TCGA-A8-A07O 194.6088 4.4706 40.4101
TCGA-A8-A07P 8.9632 146.559 117.9467
TCGA-A8-A07R 218.3379 3.827 21.7588
TCGA-A8-A07S 16.3268 124.6143 95.5413
TCGA-A8-A07U 178.4433 0.3943 83.1436
TCGA-A8-A07W 66.4647 78.616 137.9969
TCGA-A8-A07Z 17.1524 145.8004 51.4495
TCGA-A8-A081 56.2452 91.3997 16.8471
TCGA-A8-A082 26.249 109.9173 111.6613
TCGA-A8-A083 4.6964 134.1968 16.6901
TCGA-A8-A084 78.184 53.5137 176.6235
TCGA-A8-A085 13.8688 119.2496 149.449
TCGA-A8-A086 39.7341 99.7001 217.3554
TCGA-A8-A08A 21.4836 112.1256 173.4257
TCGA-A8-A08B 125.9674 56.4494 57.3354
TCGA-A8-A08C 15.536 122.3368 92.8203
TCGA-A8-A08F 62.9117 68.4314 156.9928
TCGA-A8-A08G 16.0403 128.1359 107.4483
TCGA-A8-A08H 127.0057 0.5123 343.9439
TCGA-A8-A08I 102.2628 69.4886 13.398
TCGA-A8-A08J 59.784 86.2359 179.7886
TCGA-A8-A08L 119.113 35.4399 79.2281
TCGA-A8-A08O 18.3424 86.2269 182.4558
TCGA-A8-A08P 98.6057 46.1399 119.451
TCGA-A8-A08R 176.2584 0 83.4855
TCGA-A8-A08T 47.8401 94.2225 93.5255
TCGA-A8-A08X 156.7271 0 232.9451
TCGA-A8-A08Z 70.1221 27.8776 317.0802
TCGA-A8-A090 12.9715 112.6398 124.1796
TCGA-A8-A091 0.249 136.3713 67.7889
TCGA-A8-A092 76.9519 82.6962 83.9592
TCGA-A8-A093 15.99 102.9524 231.1495
TCGA-A8-A094 97.0835 55.6916 108.0181
TCGA-A8-A095 53.8433 72.2239 121.1436
TCGA-A8-A096 43.5634 75.8808 263.3314
TCGA-A8-A097 60.3927 54.7351 253.8141
TCGA-A8-A099 0.4392 119.5556 86.7664
TCGA-A8-A09A 31.677 92.4928 191.4331
TCGA-A8-A09B 13.7863 115.418 145.1941
TCGA-A8-A09C 51.6352 95.1697 107.2522
TCGA-A8-A09D 77.2219 51.0849 227.1781
TCGA-A8-A09G 103.6659 75.0302 61.351
TCGA-A8-A09I 103.6118 59.8918 117.6563
TCGA-A8-A09M 48.3973 103.3164 51.4306
TCGA-A8-A09N 24.3403 112.345 109.9356
TCGA-A8-A09Q 57.6777 116.7247 105.5381
TCGA-A8-A09R 32.2786 76.7104 232.3091
TCGA-A8-A09T 33.4912 87.7776 143.0371
TCGA-A8-A09V 4.3547 87.1662 184.3437
TCGA-A8-A09W 56.918 109.4211 88.8244
TCGA-A8-A09X 143.872 36.1093 122.088
TCGA-A8-A09Z 82.798 93.9764 38.5037
TCGA-A8-A0A1 40.5859 72.3327 208.4243
TCGA-A8-A0A2 4.4934 113.9482 153.4863
TCGA-A8-A0A4 71.3812 83.0839 110.0591
TCGA-A8-A0A6 72.4609 85.2096 114.7
TCGA-A8-A0A7 159.4864 9.5725 206.8799
TCGA-A8-A0A9 34.3901 103.0846 146.5693
TCGA-A8-A0AB 31.7384 94.0065 92.0533
TCGA-A8-A0AD 9.8008 87.3389 259.0617
TCGA-AN-A03X 50.1859 46.8251 472.1128
TCGA-AN-A03Y 103.9123 91.6008 43.8516
TCGA-AN-A041 0.4003 136.6163 234.8626
TCGA-AN-A046 63.3063 125.5633 158.597
TCGA-AN-A049 48.2572 96.4687 176.713
TCGA-AN-A04A 91.536 63.3228 299.1158
TCGA-AN-A04C 213.1647 24.4744 20.7118
TCGA-AN-A04D 175.0833 8.752 0
TCGA-AN-A0AJ 136.4147 49.8597 72.7359
TCGA-AN-A0AK 92.9291 78.0777 23.9383
TCGA-AN-A0AL 173.5759 0.1823 169.8886
TCGA-AN-A0AM 145.8475 56.8197 130.5659
TCGA-AN-A0AR 228.2054 0.3252 10.0374
TCGA-AN-A0AS 131.4028 23.9889 330.8648
TCGA-AN-A0AT 210.2838 0 21.9094
TCGA-AN-A0FD 87.046 75.2106 249.8221
TCGA-AN-A0FF 17.7107 110.0437 122.3304
TCGA-AN-A0FJ 189.4033 0 50.3356
TCGA-AN-A0FK 9.2087 156.4876 90.8222
TCGA-AN-A0FL 206.8741 19.0476 8.0577
TCGA-AN-A0FN 76.1361 9.5859 517.2724
TCGA-AN-A0FS 41.7452 78.9239 207.0821
TCGA-AN-A0FT 102.247 75.0059 136.4125
TCGA-AN-A0FV 112.4516 36.2334 233.3099
TCGA-AN-A0FW 43.6132 131.5535 87.6454
TCGA-AN-A0FX 184.993 0.0396 104.9538
TCGA-AN-A0FY 82.9277 51.8131 160.5017
TCGA-AN-A0FZ 28.5044 109.8006 136.0225
TCGA-AN-A0G0 176.3745 7.0525 70.0459
TCGA-AN-A0XL 30.2225 76.0133 203.8912
TCGA-AN-A0XN 95.1204 0.9689 517.3365
TCGA-AN-A0XO 74.5753 87.5066 176.2101
TCGA-AN-A0XP 2.7089 123.9448 154.8827
TCGA-AN-A0XR 33.0976 104.1757 90.7407
TCGA-AN-A0XS 39.5354 66.4226 218.8947
TCGA-AN-A0XT 32.0997 115.6726 39.78
TCGA-AN-A0XU 194.6853 0 31.3738
TCGA-AN-A0XV 34.9417 94.5529 142.7644
TCGA-AN-A0XW 97.5667 24.4435 305.1494
TCGA-AO-A03L 78.0074 67.558 162.0791
TCGA-AO-A03O 80.4675 89.9895 25.4512
TCGA-AO-A03P 63.4274 124.3276 39.8257
TCGA-AO-A03R 119.3616 87.9185 15.1172
TCGA-AO-A03T 90.7292 105.2618 34.8408
TCGA-AO-A03V 41.2253 98.7859 106.311
TCGA-AO-A0J2 172.2473 34.8199 39.7978
TCGA-AO-A0J3 7.8921 128.6432 7.3963
TCGA-AO-A0J4 201.5945 0 76.6159
TCGA-AO-A0J6 201.3445 1.1782 10.7368
TCGA-AO-A0J7 26.866 138.152 64.5775
TCGA-AO-A0J8 48.1833 91.5967 172.6911
TCGA-AO-A0J9 175.039 24.6312 174.6206
TCGA-AO-A0JA 41.5203 63.9904 276.1696
TCGA-AO-A0JB 242.82 45.3729 21.7864
TCGA-AO-A0JC 152.8469 11.7946 27.4398
TCGA-AO-A0JD 110.6737 80.7675 13.3705
TCGA-AO-A0JE 126.8452 16.7767 333.6266
TCGA-AO-A0JF 35.6126 64.8329 312.3486
TCGA-AO-A0JG 23.0038 100.7853 116.3262
TCGA-AO-A0JI 0.0062 149.6146 15.4555
TCGA-AO-A0JJ 69.3446 65.6326 168.9954
TCGA-AO-A0JL 230.498 0.584 35.5172
TCGA-AO-A0JM 70.5675 56.9294 266.4139
TCGA-AO-A124 220.9501 0.0361 5.0945
TCGA-AO-A125 21.9185 134.785 3.8852
TCGA-AO-A126 108.2557 46.9402 261.284
TCGA-AO-A128 186.8473 3.7482 39.3212
TCGA-AO-A129 210.2167 0 40.0705
TCGA-AO-A12A 71.0428 63.8197 141.0188
TCGA-AO-A12B 2.216 176.5242 12.4555
TCGA-AO-A12C 56.2786 70.2439 335.363
TCGA-AO-A12D 167.0158 5.5011 252.908
TCGA-AO-A12E 38.6813 108.915 76.3988
TCGA-AO-A12F 195.1067 0 79.8262
TCGA-AO-A12G 81.1938 90.0787 128.9644
TCGA-AO-A12H 0 177.634 23.4049
TCGA-AQ-A04J 182.6557 0.0029 83.2101
TCGA-AR-A0TP 219.5844 0 34.3465
TCGA-AR-A0TQ 47.1798 115.9473 86.5673
TCGA-AR-A0TR 0 145.308 4.549
TCGA-AR-A0TS 160.4929 0 86.3618
TCGA-AR-A0TT 101.4915 28.7558 142.8147
TCGA-AR-A0TU 189.2121 0.0334 0
TCGA-AR-A0TV 58.1749 104.2474 15.1018
TCGA-AR-A0TW 54.9199 98.9468 53.1627
TCGA-AR-A0TX 111.0877 37.1919 164.8611
TCGA-AR-A0TY 81.6508 101.6432 34.6596
TCGA-AR-A0TZ 0.6308 112.4116 113.1518
TCGA-AR-A0U0 185.3011 0 23.9356
