1 2 3 4
TCGA-A1-A0SD 23.0469 126.1824 136.9439 27.4443
TCGA-A1-A0SE 53.368 35.8994 169.8738 110.4751
TCGA-A1-A0SH 25.3505 0 641.859 97.4562
TCGA-A1-A0SJ 46.1227 140.0175 105.5334 19.1256
TCGA-A1-A0SK 192.6243 15.2226 11.841 0
TCGA-A1-A0SM 38.0883 5.344 280.0668 192.0681
TCGA-A1-A0SO 161.9125 11.8121 7.3609 0
TCGA-A2-A04N 22.4099 38.1874 214.2494 125.5665
TCGA-A2-A04P 236.5183 0 41.9123 29.0035
TCGA-A2-A04Q 207.2737 0 66.1019 25.0954
TCGA-A2-A04R 1.34 201.5133 89.9809 0
TCGA-A2-A04T 234.6025 1.3368 10.4274 0
TCGA-A2-A04U 234.7463 0 39.8171 1.6154
TCGA-A2-A04V 39.7305 32.6909 169.8382 178.4092
TCGA-A2-A04W 131.2186 0 221.9405 112.6184
TCGA-A2-A04X 80.2345 0 40.9167 195.0095
TCGA-A2-A04Y 75.8959 85.5623 29.0809 94.0618
TCGA-A2-A0CL 108.9338 33.0795 137.0687 0.6934
TCGA-A2-A0CM 180.7747 0.129 83.4651 0
TCGA-A2-A0CP 66.1611 0.359 253.2438 173.766
TCGA-A2-A0CQ 22.5794 0.0357 30.2612 272.2343
TCGA-A2-A0CS 11.9421 8.2743 240.1881 206.6664
TCGA-A2-A0CT 26.4678 139.4753 51.46 19.2721
TCGA-A2-A0CU 11.5105 176.1192 73.3333 8.83
TCGA-A2-A0CV 59.5623 0 126.4663 175.0213
TCGA-A2-A0CW 79.5145 110.9882 30.3248 0.2758
TCGA-A2-A0CX 140.6892 22.1839 179.1836 45.639
TCGA-A2-A0CY 221.1584 0.0459 4.9045 164.884
TCGA-A2-A0CZ 68.2568 1.0168 357.7935 122.8378
TCGA-A2-A0D0 271.8254 0 1.5952 2.4223
TCGA-A2-A0D1 184.5592 13.9 58.5537 52.0654
TCGA-A2-A0D2 205.3935 0.2621 76.8145 7e-04
TCGA-A2-A0D3 32.9821 39.0289 42.2892 170.4497
TCGA-A2-A0D4 10.442 190.8786 24.4993 0.5981
TCGA-A2-A0EM 15.2902 29.3752 170.3792 163.4515
TCGA-A2-A0EN 51.8324 0.055 219.7121 192.1589
TCGA-A2-A0EO 47.3761 0 235.536 178.3453
TCGA-A2-A0EQ 176.2352 6.6481 42.9885 63.231
TCGA-A2-A0ER 0.0083 223.691 33.5151 29.7122
TCGA-A2-A0ES 51.4804 13.596 119.0032 155.0544
TCGA-A2-A0ET 0.0033 137.4893 5.713 60.5299
TCGA-A2-A0EU 20.9366 139.0075 101.5164 18.1965
TCGA-A2-A0EV 24.3148 61.424 181.9366 109.0783
TCGA-A2-A0EW 31.4708 14.8239 209.9032 133.188
TCGA-A2-A0EX 47.6669 0 186.1843 223.4573
TCGA-A2-A0EY 88.411 0.1228 93.4612 146.8381
TCGA-A2-A0ST 194.2965 0.0839 20.8871 40.9104
TCGA-A2-A0SU 34.034 85.4796 97.8017 117.5576
TCGA-A2-A0SV 109.3161 29.0326 194.197 68.3359
TCGA-A2-A0SW 100.3381 33.3522 127.9426 51.4274
TCGA-A2-A0SX 167.5976 0.2659 146.7246 0
TCGA-A2-A0SY 39.7737 0 144.5175 245.5751
TCGA-A2-A0T0 211.1539 0.1169 108.8203 2.0669
TCGA-A2-A0T1 156.3413 0 216.6573 60.8865
TCGA-A2-A0T2 244.4039 0 50.8733 14.7603
TCGA-A2-A0T3 40.4706 117.1014 73.621 15.9038
TCGA-A2-A0T4 40.9056 57.2404 198.9661 98.1775
TCGA-A2-A0T5 88.9661 0.09 106.5162 176.7253
TCGA-A2-A0T6 41.9897 0 345.7017 98.2851
TCGA-A2-A0T7 79.0662 33.321 219.7045 47.2272
TCGA-A2-A0YC 1.2648 97.7375 108.9844 106.9221
TCGA-A2-A0YD 40.4115 4.7355 301.9468 106.2244
TCGA-A2-A0YE 190.9868 5.1743 77.0668 0
TCGA-A2-A0YF 6.9305 111.6321 30.6069 98.8746
TCGA-A2-A0YG 72.2702 105.5385 66.2571 4.1448
TCGA-A2-A0YH 77.1543 94.911 131.8033 2.9706
TCGA-A2-A0YI 3.5737 93.3272 107.4711 128.6371
TCGA-A2-A0YJ 218.546 3.4221 30.7391 0
TCGA-A2-A0YK 73.2019 0.8503 130.382 107.7431
TCGA-A2-A0YL 70.3335 0.0927 161.6881 124.3419
TCGA-A2-A0YM 203.8285 0.8988 50.5477 0
TCGA-A7-A0CD 0.1194 120.7378 62.7514 102.5434
TCGA-A7-A0CE 213.7636 12.376 31.7386 2.6525
TCGA-A7-A0CG 50.979 0 180.4175 168.9651
TCGA-A7-A0CH 8.5733 32.143 143.7344 158.1056
TCGA-A7-A0CJ 66.2662 91.4133 26.9095 39.088
TCGA-A7-A0D9 30.1443 146.564 108.4615 0
TCGA-A7-A0DA 167.4506 0.1717 170.6272 0.1499
TCGA-A7-A0DB 35.7156 0.1131 137.7263 229.3674
TCGA-A7-A13D 222.4413 0.0264 136.4472 0
TCGA-A7-A13E 184.2062 2.3931 50.2211 0
TCGA-A7-A13F 32.3797 123.8952 68.6148 73.513
TCGA-A8-A06N 0 179.9408 1.1909 0.0592
TCGA-A8-A06O 51.8673 128.8425 79.1821 26.6137
TCGA-A8-A06P 34.503 61.0903 265.5563 78.2718
TCGA-A8-A06Q 44.0675 90.9872 3.3455 115.2386
TCGA-A8-A06R 120.5697 31.4563 176.7255 12.9298
TCGA-A8-A06T 8.1467 128.3841 67.5505 45.1221
TCGA-A8-A06U 59.1666 114.1066 45.7824 20.7948
TCGA-A8-A06X 101.8365 89.8842 58.4053 0
TCGA-A8-A06Y 27.6246 79.8999 24.2199 123.547
TCGA-A8-A06Z 5e-04 198.9773 16.2724 32.9187
TCGA-A8-A075 86.7536 37.6495 156.0603 59.2173
TCGA-A8-A076 59.3654 76.4906 213.6589 27.1368
TCGA-A8-A079 31.2077 124.9006 33.9818 104.3638
TCGA-A8-A07B 101.8186 52.514 120.1314 35.618
TCGA-A8-A07C 180.252 6.8328 31.8992 0
TCGA-A8-A07E 68.7746 20.7416 243.151 77.5735
TCGA-A8-A07F 22.446 72.4632 136.3307 53.9986
TCGA-A8-A07G 45.0091 28.4889 338.3909 107.8866
TCGA-A8-A07I 48.5836 93.227 229.8883 7.1574
TCGA-A8-A07J 52.1433 20.7343 287.0183 60.7058
TCGA-A8-A07L 29.9206 135.7159 108.234 0
TCGA-A8-A07O 207.1284 9.5695 41.5879 0.3894
TCGA-A8-A07P 3.8237 145.3361 105.9821 77.7897
TCGA-A8-A07R 229.7545 11.2341 24.838 0
TCGA-A8-A07S 6.4728 69.1439 81.0763 151.8867
TCGA-A8-A07U 189.181 3e-04 79.7867 9.1421
TCGA-A8-A07W 58.494 116.3524 135.8068 0.096
TCGA-A8-A07Z 12.4382 124.9828 44.6829 102.2544
TCGA-A8-A081 57.8396 107.5978 15.3333 21.4133
TCGA-A8-A082 22.9659 124.3977 101.9906 38.8573
TCGA-A8-A083 0.9227 87.2649 11.7955 129.9427
TCGA-A8-A084 59.4736 3e-04 158.996 139.1602
TCGA-A8-A085 17.1322 150.2826 139.6986 10.191
TCGA-A8-A086 35.7218 114.2001 202.1242 40.0406
TCGA-A8-A08A 15.08 0 158.0237 222.0883
TCGA-A8-A08B 128.3724 0.1354 37.4556 123.6068
TCGA-A8-A08C 17.9012 0.0045 79.8065 227.305
TCGA-A8-A08F 60.5913 95.8494 151.548 4.1857
TCGA-A8-A08G 18.6103 167.957 103.1724 0
TCGA-A8-A08H 134.6332 0.065 324.9514 15.9831
TCGA-A8-A08I 107.3008 70.9973 11.97 33.288
TCGA-A8-A08J 54.535 120.8256 170.3386 7.2589
TCGA-A8-A08L 119.9679 56.1941 76.8997 0
TCGA-A8-A08O 17.6814 108.938 169.5603 14.9477
TCGA-A8-A08P 99.2213 62.0565 112.8224 11.5184
TCGA-A8-A08R 184.3767 4.6912 89.9613 0
TCGA-A8-A08T 37.4384 63.5484 83.8946 106.3793
TCGA-A8-A08X 168.5855 0 216.3807 11.6149
TCGA-A8-A08Z 60.2537 11.9266 292.0339 68.0364
TCGA-A8-A090 13.5891 137.8994 115.4192 18.1201
TCGA-A8-A091 1.1429 178.6621 63.9797 0.0828
TCGA-A8-A092 72.7727 91.3515 77.0368 40.8357
TCGA-A8-A093 4.1458 54.0264 207.6203 141.0579
TCGA-A8-A094 103.5868 0.0011 94.5818 110.7384
TCGA-A8-A095 46.5855 33.6441 105.7722 107.685
TCGA-A8-A096 28.8691 32.7601 238.4591 129.0498
TCGA-A8-A097 53.3797 66.8434 242.5405 28.5423
TCGA-A8-A099 0.0651 92.8721 76.0706 93.9166
TCGA-A8-A09A 32.2777 126.8305 181.2493 0
TCGA-A8-A09B 9.1584 103.5471 129.1591 81.4037
TCGA-A8-A09C 33.3934 53.2567 96.1695 133.605
TCGA-A8-A09D 77.892 76.5177 216.9353 0
TCGA-A8-A09G 79.2666 38.6765 57.7497 127.1966
TCGA-A8-A09I 101.7756 72.6543 106.7086 27.6267
TCGA-A8-A09M 44.6099 101.8302 45.9025 59.1321
TCGA-A8-A09N 20.7672 118.8425 100.5934 50.9526
TCGA-A8-A09Q 43.1866 78.0946 96.546 133.0084
TCGA-A8-A09R 28.1225 106.2341 221.0054 6.8048
TCGA-A8-A09T 25.9081 76.9556 129.0819 73.1747
TCGA-A8-A09V 0.7289 70.4262 166.9132 74.6388
TCGA-A8-A09W 50.1428 74.715 79.3677 114.7172
TCGA-A8-A09X 128.8726 0 111.9082 106.4033
TCGA-A8-A09Z 78.9268 60.8086 30.5455 104.3785
TCGA-A8-A0A1 29.9897 36.3354 184.3029 111.5715
TCGA-A8-A0A2 1.1209 69.8408 134.3235 124.4943
TCGA-A8-A0A4 62.6706 45.2418 92.7175 116.0895
TCGA-A8-A0A6 66.4679 1.0614 68.8064 192.504
TCGA-A8-A0A7 159.4779 12.5128 191.4562 26.4239
TCGA-A8-A0A9 24.3378 75.0101 132.3351 107.0255
TCGA-A8-A0AB 27.2574 84.6682 84.1627 66.3824
TCGA-A8-A0AD 1.481 40.9951 228.0361 129.5358
TCGA-AN-A03X 24.947 19.0046 430.3405 118.8151
TCGA-AN-A03Y 86.1251 49.2259 37.5659 135.4896
TCGA-AN-A041 0.5218 181.5931 226.8349 0
TCGA-AN-A046 34.1134 0.2692 138.4092 282.3367
TCGA-AN-A049 41.4972 84.4866 162.417 79.3455
TCGA-AN-A04A 81.9693 61.1108 275.0774 65.4757
TCGA-AN-A04C 186.7237 0 16.1621 104.6899
