1 2 3 4 5 6 7
TCGA-A1-A0SD 44.1882 203.2709 119.5232 70.5282 69.7882 0 20.1501
TCGA-A1-A0SE 32.4152 0.0404 151.8952 99.122 62.7328 90.4449 6.8604
TCGA-A1-A0SH 9.1982 0.0056 624.0951 21.4032 41.976 41.3344 124.5283
TCGA-A1-A0SJ 26.5022 0.0111 91.956 49.4937 173.0685 58.6248 8.0373
TCGA-A1-A0SK 147.784 0.004 9.1926 0 41.4137 117.4602 0.0612
TCGA-A1-A0SM 0.7746 0.009 230.2564 46.2144 27.178 33.6899 394.6914
TCGA-A1-A0SO 194.2936 0.0274 5.0677 0 24.3087 14.7685 2.8379
TCGA-A2-A04N 0.416 0.009 197.764 86.6179 77.0282 81.1201 34.2509
TCGA-A2-A04P 147.1677 4e-04 42.9448 2.5479 0 251.8007 11.4044
TCGA-A2-A04Q 232.5684 0.0024 59.9936 19.0066 0 74.2345 0.0609
TCGA-A2-A04R 1.7399 409.1864 89.4817 7.214 127.7846 25.7686 0
TCGA-A2-A04T 235.9575 2e-04 6.8159 0.004 2.8037 99.5578 0
TCGA-A2-A04U 138.1274 3e-04 40.2982 1e-04 0 233.6529 0.0045
TCGA-A2-A04V 0 0.17 165.2137 69.4151 85.2035 196.6039 0
TCGA-A2-A04W 48.6527 0.0036 210.7171 4.4087 0.0011 91.3814 362.6718
TCGA-A2-A04X 9.4059 0.0028 39.6252 20.5577 17.2838 68.8712 427.2181
TCGA-A2-A04Y 5.5626 0.0018 32.2921 0 148.789 141.6989 114.58
TCGA-A2-A0CL 116.0923 8e-04 118.4731 4.7115 55.938 37.9187 0
TCGA-A2-A0CM 217.1917 0.0049 70.9589 0 5.7326 32.0598 8e-04
TCGA-A2-A0CP 13.3287 0.5307 256.9877 76.3082 25.3953 214.3446 20.7075
TCGA-A2-A0CQ 9.4548 0.0162 22.4497 231.7414 0 124.1043 38.5511
TCGA-A2-A0CS 0 2.3807 222.8088 154.1248 37.8512 86.4825 48.1786
TCGA-A2-A0CT 8.5705 0.0395 43.3821 26.6784 182.02 60.1215 0
TCGA-A2-A0CU 2.8422 4e-04 56.2317 93.7004 176.7676 35.1041 1.1516
TCGA-A2-A0CV 43.8406 0.0087 114.002 144.9033 0 132.4305 10.3908
TCGA-A2-A0CW 37.8194 0.0271 26.4243 0 156.6956 55.2922 58.3189
TCGA-A2-A0CX 54.7272 3e-04 158.5973 0 41.8054 63.4959 271.5022
TCGA-A2-A0CY 58.8386 0.174 20.0898 6.8928 39.0035 442.9075 41.5125
TCGA-A2-A0CZ 25.4812 2.1884 366.1665 33.249 22.1814 156.5891 64.1632
TCGA-A2-A0D0 206.6715 0 0 0.03 0 207.8951 5e-04
TCGA-A2-A0D1 61.4386 0.2641 55.8048 0 66.7884 204.3391 77.7339
TCGA-A2-A0D2 204.9386 0.0028 69.3381 0 4.2261 90.8115 0.1485
TCGA-A2-A0D3 23.4683 2e-04 28.8287 176.6839 47.3093 67.5827 26.4829
TCGA-A2-A0D4 13.4834 270.2156 21.5706 1.4758 161.2509 25.3635 5.0323
TCGA-A2-A0EM 15.7231 0.1944 143.7442 183.329 22.4048 41.5205 52.2227
TCGA-A2-A0EN 67.4705 0.0897 192.989 199.6733 0 29.3786 59.359
TCGA-A2-A0EO 25.2867 0.0012 209.7539 127.3742 44.4103 100.759 28.7705
TCGA-A2-A0EQ 103.9382 0.0098 42.0858 1.6412 55.718 180.94 24.7038
TCGA-A2-A0ER 3.5671 646.3674 33.3175 22.3686 90.3511 0 43.8307
TCGA-A2-A0ES 63.6017 0.1046 81.3585 187.4009 0 31.0821 51.0297
TCGA-A2-A0ET 0 30.3799 0.5591 127.49 121.6472 29.1586 0
TCGA-A2-A0EU 10.7454 0.3705 87.4599 69.1523 152.4418 43.2866 0
TCGA-A2-A0EV 17.6624 0.0516 154.9781 96.3908 72.2392 15.8089 136.0768
TCGA-A2-A0EW 42.4204 0.0124 171.9466 171.8764 0 39.7309 18.3083
TCGA-A2-A0EX 4.2578 0.0145 178.4944 123.8374 32.7513 201.8402 23.0454
TCGA-A2-A0EY 30.8994 0.0248 72.9889 71.1436 2.7077 19.6672 346.6445
TCGA-A2-A0ST 204.2493 0.1504 14.4099 37.2721 0 84.5627 6.9201
