SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-A1-A0SD,3.0073,-6.9104,3.6566,0.20005,-1.0393
TCGA-A1-A0SE,2.1633,-5.6871,4.3565,-1.5442,2.4894
TCGA-A1-A0SH,0.36736,-7.3775,-0.76028,2.3974,6.6289
TCGA-A1-A0SJ,1.4725,-4.5649,4.2942,1.5485,0.60322
TCGA-A1-A0SK,-8.4892,11.1405,4.9425,-1.2543,5.8591
TCGA-A1-A0SM,2.4048,-4.074,-5.0685,-2.1153,6.6572
TCGA-A1-A0SO,-10.4288,12.9998,4.2257,1.0919,-0.57477
TCGA-A2-A04N,5.0335,-4.238,0.26576,0.64819,3.5613
TCGA-A2-A04P,-12.566,-1.1319,-0.81968,-4.4168,-1.4762
TCGA-A2-A04Q,-11.6209,-2.7616,-1.3628,0.039469,-4.637
TCGA-A2-A04R,6.2844,2.9411,6.0402,1.7354,3.2028
TCGA-A2-A04T,-16.1876,5.1326,4.5502,1.4193,-0.36389
TCGA-A2-A04U,-14.1629,6.2879,3.6052,-1.349,6.4898
TCGA-A2-A04V,6.7999,1.5369,0.59597,5.7837,2.1795
TCGA-A2-A04W,-2.9908,-4.1533,-9.1779,-4.8839,5.4574
TCGA-A2-A04X,2.4783,1.3785,-6.9479,-3.0202,-2.5337
TCGA-A2-A04Y,1.193,0.01193,-0.34755,-0.72748,-3.5259
TCGA-A2-A0CL,-2.7974,-1.016,-0.54751,6.8284,-5.1014
TCGA-A2-A0CM,-14.7264,3.3873,-0.54504,4.6646,-0.29723
TCGA-A2-A0CP,0.39374,-8.9913,2.909,-1.4997,3.0441
TCGA-A2-A0CQ,6.6691,1.0333,0.72079,-4.8434,-1.0797
TCGA-A2-A0CS,7.4216,-1.447,-3.1531,-2.0142,2.0257
TCGA-A2-A0CT,1.7397,3.1319,2.8856,-0.43893,1.4012
TCGA-A2-A0CU,5.9066,1.8514,5.6544,3.7876,0.73948
TCGA-A2-A0CV,-0.015998,-7.8146,2.6784,-3.7543,-0.47518
TCGA-A2-A0CW,1.7512,5.7423,-2.8701,-2.232,-1.6092
TCGA-A2-A0CX,-3.5291,-3.5487,-6.9839,-1.7177,1.09
TCGA-A2-A0CY,-4.4876,4.2364,-1.4968,-8.4549,3.6061
TCGA-A2-A0CZ,-1.5574,-10.0225,2.0594,1.517,0.74677
TCGA-A2-A0D0,-17.7283,8.0868,0.24042,-3.7343,-0.16608
TCGA-A2-A0D1,-2.0461,8.6771,-4.2684,-0.47937,5.6558
TCGA-A2-A0D2,-13.9773,1.3819,1.9901,1.1039,0.72487
TCGA-A2-A0D3,2.2273,0.32333,-0.91404,-3.0127,-0.098558
TCGA-A2-A0D4,5.4003,3.0203,4.0733,-2.6444,-1.1658
TCGA-A2-A0EM,6.5034,-4.1123,1.7451,-1.6173,1.6518
TCGA-A2-A0EN,2.1481,-9.2242,-1.9636,1.0039,-3.6514
TCGA-A2-A0EO,0.94993,-9.2553,2.6844,-0.36259,1.6194
TCGA-A2-A0EQ,-2.0722,5.0444,-5.9517,1.7385,-4.2779
TCGA-A2-A0ER,9.1525,1.8264,4.7072,-0.63693,-1.0382
TCGA-A2-A0ES,0.9735,-11.1201,6.4112,-3.343,-2.5279
TCGA-A2-A0ET,10.4625,11.9829,3.707,1.3777,-7.0882
TCGA-A2-A0EU,3.5942,-0.81647,3.9262,1.5888,2.3577
TCGA-A2-A0EV,4.1148,-4.4479,-0.035706,1.833,-0.96056
TCGA-A2-A0EW,1.3203,-10.516,4.4972,-0.28515,-2.8675
TCGA-A2-A0EX,2.6917,-6.5076,1.3626,-0.83604,2.3753
TCGA-A2-A0EY,0.60972,-1.9101,-7.6048,-3.5028,-2.1148
TCGA-A2-A0ST,-10.2129,-3.6179,1.2859,-2.8414,-7.9194
TCGA-A2-A0SU,3.9328,-3.4958,4.8963,-2.3795,0.94607
TCGA-A2-A0SV,1.011,0.73707,-8.5256,2.2419,-0.29139
TCGA-A2-A0SW,3.1761,0.20392,-7.2875,2.0568,-3.8502
TCGA-A2-A0SX,-12.6511,-2.7517,1.7149,5.0574,-1.583
TCGA-A2-A0SY,2.9245,-6.6382,1.3276,0.82497,-0.92112
TCGA-A2-A0T0,-13.8365,3.3172,-1.3135,-1.2297,4.7623
TCGA-A2-A0T1,-2.3786,-3.0535,-11.8371,1.9264,-0.46662
TCGA-A2-A0T2,-14.0302,1.5057,-1.2726,-4.2892,2.7419
TCGA-A2-A0T3,1.9827,0.034697,3.6308,-0.90424,0.90356
TCGA-A2-A0T4,4.0493,-5.9763,1.114,3.1089,-2.7842
TCGA-A2-A0T5,-0.2836,-5.2828,1.9918,-4.0316,3.5672
TCGA-A2-A0T6,2.5573,-4.4337,-1.7304,8.9049,-0.70279
TCGA-A2-A0T7,-2.8617,-7.0036,1.2599,-0.53769,1.3604
TCGA-A2-A0YC,9.1525,-1.6692,0.51723,2.1999,-2.1936
TCGA-A2-A0YD,1.761,-8.1586,0.50705,3.5947,-0.64165
TCGA-A2-A0YE,-13.3773,3.2302,1.9324,3.0588,2.32
TCGA-A2-A0YF,7.2011,0.41878,3.4049,-1.1964,-3.4793
TCGA-A2-A0YG,1.3068,2.8683,-2.3557,-1.1702,0.42368
TCGA-A2-A0YH,3.1994,-0.21256,-2.0555,2.764,-2.4741
TCGA-A2-A0YI,6.2098,-4.7769,2.7485,-0.40379,-4.5392
TCGA-A2-A0YJ,-15.5585,6.7861,3.2606,-0.62454,7.2445
TCGA-A2-A0YK,-1.7085,-10.3692,4.0906,-1.5654,-5.2523
TCGA-A2-A0YL,-0.76625,-7.7321,4.7658,-0.96183,-0.55644
TCGA-A2-A0YM,-16.3538,3.3951,2.6046,4.5259,0.032127
TCGA-A7-A0CD,9.0166,3.9269,3.0273,1.252,0.38124
TCGA-A7-A0CE,-11.1171,-0.54511,4.0217,-1.2487,-0.42035
TCGA-A7-A0CG,0.21244,-10.2851,0.61615,-2.3739,-4.0017
TCGA-A7-A0CH,5.0513,-4.2508,0.5544,-4.4257,2.2032
TCGA-A7-A0CJ,2.3957,5.5555,1.1039,-1.8663,0.51215
TCGA-A7-A0D9,0.81809,0.95605,2.829,3.2897,3.7594
TCGA-A7-A0DA,-12.9833,0.32965,1.3955,1.5201,6.8407
TCGA-A7-A0DB,2.6731,-8.2758,0.058039,-2.9811,-1.6569
TCGA-A7-A13D,-13.7857,1.4728,1.9265,0.94694,6.4254
TCGA-A7-A13E,-15.313,5.646,3.6169,1.9085,3.9403
TCGA-A7-A13F,5.5113,0.79545,2.5706,-1.7352,2.9252
TCGA-A8-A06N,11.1204,19.5203,3.3349,-1.33,-4.3858
TCGA-A8-A06O,5.9736,1.9215,-0.93031,3.0705,-2.2767
TCGA-A8-A06P,5.2929,-3.5452,-1.0845,3.9162,3.2434
TCGA-A8-A06Q,5.7536,8.9963,-3.1601,-7.4195,-2.6047
TCGA-A8-A06R,-1.9131,1.3071,-4.1739,2.5019,3.0075
TCGA-A8-A06T,7.6063,6.1791,-0.89274,2.6569,-3.1684
TCGA-A8-A06U,1.7488,2.2199,0.35985,-2.3166,-1.7431
TCGA-A8-A06X,1.8086,8.9279,-4.0067,5.5981,-1.3871
TCGA-A8-A06Y,4.4392,6.6553,2.2063,-2.9554,-1.092
TCGA-A8-A06Z,10.189,11.5384,-0.18908,-1.586,-1.3562
TCGA-A8-A075,1.847,-0.14483,-8.6198,0.7117,0.036794
TCGA-A8-A076,4.6632,-0.26746,-6.4939,2.1021,0.54489
TCGA-A8-A079,4.8584,6.4031,0.92173,1.1889,0.14324
TCGA-A8-A07B,0.63177,1.8153,-5.3146,-0.19768,2.9158
TCGA-A8-A07C,-13.0571,8.9203,2.7976,4.5385,0.47775
TCGA-A8-A07E,-0.60183,-6.826,-1.3334,0.56483,1.06
TCGA-A8-A07F,2.9223,-0.67136,-1.0584,1.6879,0.076812
TCGA-A8-A07G,1.19,-7.7301,-1.7873,-0.64722,2.4005
TCGA-A8-A07I,1.7035,0.089965,-3.5721,5.7684,0.86439
TCGA-A8-A07J,4.2663,-2.0535,-0.40203,9.2544,-1.2812
TCGA-A8-A07L,2.9011,7.0071,-0.26626,5.3597,3.6479
TCGA-A8-A07O,-11.6201,7.952,-0.17266,0.66347,0.77463
TCGA-A8-A07P,8.3433,0.94973,0.39292,-0.039195,0.54409
TCGA-A8-A07R,-14.5149,5.4691,2.5234,-1.7867,1.6263
TCGA-A8-A07S,7.0113,1.88,0.43934,-2.2679,-0.036882
TCGA-A8-A07U,-10.2257,-1.3173,-3.1286,2.4935,-6.4426
TCGA-A8-A07W,4.0865,3.2066,-3.5511,3.5549,1.1009
TCGA-A8-A07Z,6.3938,4.8299,2.4615,-1.994,-1.3316
TCGA-A8-A081,1.7759,4.6657,-4.6117,-3.5195,-5.1117
TCGA-A8-A082,7.0996,5.451,-1.8025,2.3043,3.7182
TCGA-A8-A083,8.9444,8.1198,0.16078,-2.4349,-3.3563
TCGA-A8-A084,2.1502,-2.4781,-5.7394,-4.069,0.60629
TCGA-A8-A085,8.2631,8.4193,0.56248,4.7275,6.1063
TCGA-A8-A086,4.4459,-1.6468,4.0847,3.1889,4.2343
TCGA-A8-A08A,7.2307,0.91662,-3.2207,0.19829,0.26189
TCGA-A8-A08B,-1.4303,1.1305,-6.6065,-7.6201,-1.8657
TCGA-A8-A08C,5.0138,3.3965,-2.3064,-0.80278,0.10302
TCGA-A8-A08F,4.9605,5.4449,-5.1034,4.8423,0.0057789
TCGA-A8-A08G,5.2978,3.4176,0.39293,3.3212,-0.012605
TCGA-A8-A08H,-4.684,-6.1594,0.52991,5.1117,-2.6026
TCGA-A8-A08I,3.565,4.0053,-0.4938,-0.078377,-8.6573
TCGA-A8-A08J,3.5175,0.64416,-4.4326,0.92691,2.8842
TCGA-A8-A08L,-0.85469,3.6747,-4.0923,0.95308,-0.19342
TCGA-A8-A08O,3.1399,-2.3497,6.7175,2.9709,3.4936
