SampleID,PC1,PC2,PC3,PC4,PC5
TCGA-A1-A0SD,3.0279,-6.9368,3.6584,0.20642,-1.0834
TCGA-A1-A0SE,2.2098,-5.6705,4.2829,-1.5232,2.434
TCGA-A1-A0SH,0.41701,-7.2339,-0.83086,2.344,6.5691
TCGA-A1-A0SJ,1.5086,-4.564,4.2758,1.5344,0.54461
TCGA-A1-A0SK,-8.4203,11.1731,4.7948,-1.2391,5.8209
TCGA-A1-A0SM,2.4125,-3.9508,-5.1385,-2.1635,6.6384
TCGA-A1-A0SO,-10.3978,12.952,4.1882,1.1373,-0.53909
TCGA-A2-A04N,5.0514,-4.1724,0.22251,0.62516,3.5116
TCGA-A2-A04P,-12.5502,-1.1695,-0.83322,-4.3688,-1.4446
TCGA-A2-A04Q,-11.6253,-2.8088,-1.285,0.054894,-4.595
TCGA-A2-A04R,6.3212,2.9497,5.9462,1.7411,3.1163
TCGA-A2-A04T,-16.1295,5.1075,4.5181,1.445,-0.38045
TCGA-A2-A04U,-14.0789,6.3507,3.4461,-1.3235,6.422
TCGA-A2-A04V,6.8017,1.5987,0.58599,5.7442,2.1403
TCGA-A2-A04W,-3.003,-4.034,-9.2235,-4.92,5.5083
TCGA-A2-A04X,2.4076,1.3565,-6.8761,-3.0281,-2.4643
TCGA-A2-A04Y,1.1655,-0.046782,-0.29346,-0.71299,-3.5019
TCGA-A2-A0CL,-2.8173,-1.0367,-0.41129,6.8004,-5.0767
TCGA-A2-A0CM,-14.7009,3.4183,-0.51428,4.6268,-0.30824
TCGA-A2-A0CP,0.44331,-8.9505,2.8396,-1.4944,2.9766
TCGA-A2-A0CQ,6.6438,0.96933,0.69081,-4.7829,-1.0757
TCGA-A2-A0CS,7.3962,-1.4152,-3.1833,-2.0104,2.0216
TCGA-A2-A0CT,1.7531,3.119,2.8466,-0.4447,1.3698
TCGA-A2-A0CU,5.9343,1.8424,5.6268,3.7845,0.68564
TCGA-A2-A0CV,0.0093886,-7.8415,2.6518,-3.7127,-0.49212
TCGA-A2-A0CW,1.7068,5.7012,-2.8485,-2.2192,-1.5771
TCGA-A2-A0CX,-3.552,-3.4895,-6.9582,-1.7481,1.1544
TCGA-A2-A0CY,-4.4772,4.233,-1.613,-8.4231,3.6183
TCGA-A2-A0CZ,-1.5174,-9.9876,2.0543,1.5018,0.70983
TCGA-A2-A0D0,-17.7045,8.048,0.19057,-3.6881,-0.16683
TCGA-A2-A0D1,-2.0485,8.771,-4.3364,-0.5051,5.6919
TCGA-A2-A0D2,-13.9275,1.3952,1.9585,1.1102,0.71175
TCGA-A2-A0D3,2.213,0.31253,-0.91885,-2.9907,-0.06531
TCGA-A2-A0D4,5.3988,2.9462,4.0425,-2.6031,-1.1685
TCGA-A2-A0EM,6.5143,-4.1019,1.7049,-1.605,1.6343
TCGA-A2-A0EN,2.1253,-9.2378,-1.8669,0.99382,-3.6113
TCGA-A2-A0EO,0.98966,-9.2265,2.6484,-0.36929,1.5642
TCGA-A2-A0EQ,-2.1377,5.0207,-5.8332,1.7229,-4.1681
TCGA-A2-A0ER,9.149,1.7618,4.6894,-0.61347,-1.0738
TCGA-A2-A0ES,1.0138,-11.1939,6.4049,-3.2911,-2.5687
TCGA-A2-A0ET,10.398,11.824,3.7876,1.4362,-7.0294
TCGA-A2-A0EU,3.6227,-0.79904,3.8817,1.5687,2.2696
TCGA-A2-A0EV,4.1067,-4.4433,0.0018783,1.8083,-0.98699
TCGA-A2-A0EW,1.3473,-10.5632,4.5326,-0.25657,-2.8816
TCGA-A2-A0EX,2.719,-6.4657,1.3235,-0.84038,2.3499
TCGA-A2-A0EY,0.5519,-1.9102,-7.5314,-3.507,-1.9873
TCGA-A2-A0ST,-10.2252,-3.7518,1.3833,-2.7886,-7.8653
TCGA-A2-A0SU,3.9638,-3.5289,4.8304,-2.3481,0.89028
TCGA-A2-A0SV,0.95425,0.79619,-8.4505,2.1867,-0.24044
TCGA-A2-A0SW,3.1024,0.20233,-7.1585,2.0153,-3.7449
TCGA-A2-A0SX,-12.6119,-2.736,1.767,5.0314,-1.6025
TCGA-A2-A0SY,2.9327,-6.6387,1.3492,0.82341,-0.92678
TCGA-A2-A0T0,-13.7878,3.3876,-1.4079,-1.2354,4.7425
TCGA-A2-A0T1,-2.4412,-2.9611,-11.7234,1.8487,-0.35651
TCGA-A2-A0T2,-13.9939,1.5288,-1.35,-4.2704,2.7405
TCGA-A2-A0T3,2.0069,0.019432,3.5874,-0.89404,0.86855
TCGA-A2-A0T4,4.0423,-5.9934,1.1782,3.0956,-2.8011
TCGA-A2-A0T5,-0.24432,-5.2529,1.9049,-4.0137,3.5259
TCGA-A2-A0T6,2.5526,-4.3534,-1.6298,8.8403,-0.68719
TCGA-A2-A0T7,-2.8265,-6.976,1.2351,-0.54637,1.3293
TCGA-A2-A0YC,9.1245,-1.6955,0.56703,2.192,-2.2192
TCGA-A2-A0YD,1.7724,-8.1268,0.55424,3.5668,-0.67124
TCGA-A2-A0YE,-13.3212,3.2777,1.8867,3.0541,2.2808
TCGA-A2-A0YF,7.1827,0.32824,3.4302,-1.1589,-3.4785
TCGA-A2-A0YG,1.2855,2.875,-2.352,-1.1831,0.46187
TCGA-A2-A0YH,3.1656,-0.22618,-1.9892,2.7399,-2.4718
TCGA-A2-A0YI,6.1933,-4.8589,2.8052,-0.36534,-4.5265
TCGA-A2-A0YJ,-15.4692,6.865,3.1049,-0.62674,7.1833
TCGA-A2-A0YK,-1.6918,-10.4568,4.1553,-1.5229,-5.2292
TCGA-A2-A0YL,-0.72452,-7.7537,4.7476,-0.93434,-0.59503
TCGA-A2-A0YM,-16.3015,3.411,2.6068,4.506,-0.012648
TCGA-A7-A0CD,9.0091,3.9053,3.0003,1.2599,0.34739
TCGA-A7-A0CE,-11.0686,-0.57926,3.9882,-1.2231,-0.45201
TCGA-A7-A0CG,0.20918,-10.3375,0.68165,-2.3528,-3.9498
TCGA-A7-A0CH,5.0596,-4.2449,0.49223,-4.4026,2.1869
TCGA-A7-A0CJ,2.3876,5.5273,1.0672,-1.839,0.48959
TCGA-A7-A0D9,0.85701,1.0161,2.7877,3.2467,3.7023
TCGA-A7-A0DA,-12.9008,0.44067,1.2766,1.5019,6.7594
TCGA-A7-A0DB,2.6694,-8.302,0.081811,-2.9658,-1.6273
TCGA-A7-A13D,-13.7041,1.566,1.8003,0.92798,6.3422
TCGA-A7-A13E,-15.2384,5.6942,3.5333,1.9037,3.8955
TCGA-A7-A13F,5.5277,0.80161,2.4919,-1.7311,2.8652
TCGA-A8-A06N,11.051,19.3642,3.3484,-1.2786,-4.3565
TCGA-A8-A06O,5.9395,1.9058,-0.87239,3.0475,-2.2558
TCGA-A8-A06P,5.3022,-3.4564,-1.0939,3.8593,3.2096
TCGA-A8-A06Q,5.6857,8.9042,-3.1545,-7.358,-2.4903
TCGA-A8-A06R,-1.9178,1.3926,-4.1788,2.4547,3.0034
TCGA-A8-A06T,7.5537,6.1307,-0.83424,2.659,-3.1469
TCGA-A8-A06U,1.7287,2.1615,0.36419,-2.2969,-1.7538
TCGA-A8-A06X,1.7582,8.9453,-3.9345,5.5584,-1.3624
TCGA-A8-A06Y,4.4223,6.5841,2.1713,-2.8997,-1.0842
TCGA-A8-A06Z,10.1348,11.4685,-0.19851,-1.551,-1.3187
TCGA-A8-A075,1.7906,-0.083077,-8.5465,0.66322,0.12094
TCGA-A8-A076,4.6172,-0.20549,-6.4396,2.0465,0.59614
TCGA-A8-A079,4.8414,6.3888,0.91254,1.1899,0.13457
TCGA-A8-A07B,0.61281,1.89,-5.3202,-0.2341,2.9648
TCGA-A8-A07C,-13.0144,8.9335,2.785,4.5352,0.48409
TCGA-A8-A07E,-0.5896,-6.779,-1.318,0.53568,1.0704
TCGA-A8-A07F,2.9125,-0.64645,-1.0294,1.6663,0.090578
TCGA-A8-A07G,1.2041,-7.6692,-1.8068,-0.67203,2.3868
TCGA-A8-A07I,1.6852,0.16446,-3.5147,5.7021,0.86006
TCGA-A8-A07J,4.2571,-2,-0.3127,9.2032,-1.2904
TCGA-A8-A07L,2.9073,7.0839,-0.29264,5.3084,3.6238
TCGA-A8-A07O,-11.6011,7.9545,-0.2052,0.65749,0.77808
TCGA-A8-A07P,8.3258,0.94523,0.38051,-0.048166,0.53286
TCGA-A8-A07R,-14.4657,5.4607,2.4419,-1.7551,1.5803
TCGA-A8-A07S,6.9921,1.8479,0.41067,-2.2331,-0.028365
TCGA-A8-A07U,-10.256,-1.3703,-2.9874,2.4795,-6.3807
TCGA-A8-A07W,4.0609,3.2598,-3.5222,3.5043,1.1222
TCGA-A8-A07Z,6.3721,4.7589,2.4333,-1.9447,-1.3658
TCGA-A8-A081,1.7035,4.5801,-4.5176,-3.4943,-4.9892
TCGA-A8-A082,7.0871,5.5178,-1.8377,2.2704,3.703
TCGA-A8-A083,8.8863,8.0259,0.18906,-2.3744,-3.3171
TCGA-A8-A084,2.1138,-2.4559,-5.7314,-4.07,0.65796
TCGA-A8-A085,8.2726,8.5141,0.47648,4.6871,6.0569
TCGA-A8-A086,4.4895,-1.5893,4.0035,3.1607,4.125
